sRGBA,r,g,b,a
1,197,9,102,255
2,160,30,210,255
3,197,9,102,255
4,197,9,102,255
5,197,9,102,255
6,197,9,102,255
7,197,9,102,255
8,197,9,102,255
9,197,9,102,255
10,197,9,102,255
11,197,9,102,255
12,160,30,210,255
13,197,9,102,255
14,197,9,102,255
15,197,9,102,255
16,197,9,102,255
17,197,9,102,255
18,197,9,102,255
19,197,9,102,255
20,197,9,102,255
21,197,9,102,255
22,160,30,210,255
23,197,9,102,255
24,197,9,102,255
25,197,9,102,255
26,197,9,102,255
27,197,9,102,255
28,197,9,102,255
29,197,9,102,255
30,197,9,102,255
31,160,30,210,255
32,197,9,102,255
33,197,9,102,255
34,197,9,102,255
