sRGBA,r,g,b,a
1,149,34,68,255
2,129,107,193,255
3,149,34,68,255
4,139,50,50,255
5,158,5,81,255
6,149,34,68,255
7,113,104,188,255
8,149,34,68,255
9,139,50,50,255
10,139,50,50,255
11,139,50,50,255
12,129,107,193,255
13,149,34,68,255
14,158,5,81,255
15,149,34,68,255
16,149,34,68,255
17,113,104,188,255
18,149,34,68,255
19,149,34,68,255
20,139,50,50,255
21,139,50,50,255
22,60,132,132,255
23,139,50,50,255
24,139,50,50,255
25,158,5,81,255
26,139,50,50,255
27,113,104,188,255
28,139,50,50,255
29,158,5,81,255
30,149,34,68,255
31,129,107,193,255
32,139,50,50,255
33,158,5,81,255
34,158,5,81,255
