sRGBA,r,g,b,a
1,158,5,81,255
2,180,35,236,255
3,149,34,68,255
4,139,50,50,255
5,139,50,50,255
6,139,50,50,255
7,60,132,132,255
8,139,50,50,255
9,139,50,50,255
10,139,50,50,255
11,158,5,81,255
12,29,127,127,255
13,139,50,50,255
14,158,5,81,255
15,149,34,68,255
16,139,50,50,255
17,60,132,132,255
18,139,50,50,255
18,139,50,50,255
19,158,5,81,255
20,158,5,81,255
21,180,35,236,255
22,158,5,81,255
23,158,5,81,255
24,149,34,68,255
25,139,50,50,255
26,60,132,132,255
27,139,50,50,255
28,139,50,50,255
29,139,50,50,255
30,113,104,188,255
31,139,50,50,255
32,139,50,50,255
33,149,34,68,255
