sRGBA,r,g,b,a
1,158,5,81,255
2,119,109,197,255
3,158,5,81,255
4,139,50,50,255
5,158,5,81,255
6,149,34,68,255
7,139,50,50,255
8,158,5,81,255
9,139,50,50,255
10,158,5,81,255
11,149,34,68,255
12,180,35,236,255
13,139,50,50,255
14,149,34,68,255
15,139,50,50,255
16,139,50,50,255
17,139,50,50,255
18,149,34,68,255
19,139,50,50,255
20,149,34,68,255
21,158,5,81,255
22,31,134,134,255
23,139,50,50,255
24,149,34,68,255
25,149,34,68,255
26,149,34,68,255
27,158,5,81,255
28,158,5,81,255
29,139,50,50,255
30,139,50,50,255
31,60,132,132,255
32,139,50,50,255
33,139,50,50,255
34,158,5,81,255
