sRGBA,r,g,b,a
1,139,50,50,255
2,113,104,188,255
3,139,50,50,255
4,139,50,50,255
5,158,5,81,255
6,158,5,81,255
7,193,36,241,255
8,158,5,81,255
9,158,5,81,255
10,158,5,81,255
11,139,50,50,255
12,29,127,127,255
13,139,50,50,255
14,149,34,68,255
15,149,34,68,255
16,139,50,50,255
17,129,107,193,255
18,139,50,50,255
19,139,50,50,255
20,139,50,50,255
21,139,50,50,255
22,180,35,236,255
23,149,34,68,255
24,139,50,50,255
25,139,50,50,255
26,149,34,68,255
27,129,107,193,255
28,149,34,68,255
29,149,34,68,255
30,158,5,81,255
31,119,109,197,255
32,139,50,50,255
33,149,34,68,255
34,158,5,81,255
