sRGBA,r,g,b,a
1,158,158,158,255
2,158,158,158,255
3,158,158,158,255
4,178,178,178,255
5,178,178,178,255
6,178,178,178,255
7,178,178,178,255
8,178,178,178,255
9,158,158,158,255
10,158,158,158,255
11,158,158,158,255
12,158,158,158,255
13,158,158,158,255
14,178,178,178,255
15,178,178,178,255
16,178,178,178,255
17,178,178,178,255
18,178,178,178,255
19,158,158,158,255
20,158,158,158,255
21,158,158,158,255
22,158,158,158,255
23,158,158,158,255
24,178,178,178,255
25,178,178,178,255
26,178,178,178,255
27,178,178,178,255
28,178,178,178,255
29,158,158,158,255
30,158,158,158,255
31,158,158,158,255
32,158,158,158,255
33,158,158,158,255
34,178,178,178,255
