sRGBA,r,g,b,a
1,136,136,136,255
2,136,136,136,255
3,136,136,136,255
4,136,136,136,255
5,159,159,159,255
6,179,179,179,255
7,136,136,136,255
8,136,136,136,255
9,136,136,136,255
10,136,136,136,255
11,136,136,136,255
12,136,136,136,255
13,136,136,136,255
14,136,136,136,255
15,179,179,179,255
16,159,159,159,255
17,136,136,136,255
18,136,136,136,255
19,136,136,136,255
20,136,136,136,255
21,136,136,136,255
22,136,136,136,255
23,136,136,136,255
24,136,136,136,255
25,159,159,159,255
26,179,179,179,255
27,159,159,159,255
28,136,136,136,255
29,136,136,136,255
30,136,136,136,255
31,136,136,136,255
32,136,136,136,255
33,136,136,136,255
34,136,136,136,255
