sRGBA,r,g,b,a
1,194,194,194,255
2,194,194,194,255
3,194,194,194,255
4,194,194,194,255
5,210,210,210,255
6,224,224,224,255
7,194,194,194,255
8,194,194,194,255
9,194,194,194,255
10,194,194,194,255
11,194,194,194,255
12,194,194,194,255
13,194,194,194,255
14,194,194,194,255
15,224,224,224,255
16,210,210,210,255
17,194,194,194,255
18,194,194,194,255
19,194,194,194,255
20,194,194,194,255
21,194,194,194,255
22,194,194,194,255
23,194,194,194,255
24,194,194,194,255
25,210,210,210,255
26,224,224,224,255
27,210,210,210,255
28,194,194,194,255
29,194,194,194,255
30,194,194,194,255
31,194,194,194,255
32,194,194,194,255
33,194,194,194,255
34,194,194,194,255
