sRGBA,r,g,b,a
1,194,194,194,255
2,210,210,210,255
3,194,194,194,255
4,194,194,194,255
5,194,194,194,255
6,194,194,194,255
7,194,194,194,255
8,194,194,194,255
9,194,194,194,255
10,194,194,194,255
11,194,194,194,255
12,210,210,210,255
13,194,194,194,255
14,194,194,194,255
15,194,194,194,255
16,194,194,194,255
17,194,194,194,255
18,194,194,194,255
19,210,210,210,255
20,194,194,194,255
21,194,194,194,255
22,194,194,194,255
23,194,194,194,255
24,194,194,194,255
25,194,194,194,255
26,194,194,194,255
27,194,194,194,255
28,194,194,194,255
29,194,194,194,255
30,194,194,194,255
31,194,194,194,255
32,210,210,210,255
33,194,194,194,255
34,194,194,194,255
