sRGBA,r,g,b,a
1,108,108,108,255
2,108,108,108,255
3,108,108,108,255
4,138,138,138,255
5,138,138,138,255
6,138,138,138,255
7,138,138,138,255
8,138,138,138,255
9,108,108,108,255
10,108,108,108,255
11,108,108,108,255
12,108,108,108,255
13,108,108,108,255
14,138,138,138,255
15,138,138,138,255
16,138,138,138,255
17,138,138,138,255
18,138,138,138,255
19,108,108,108,255
20,108,108,108,255
21,108,108,108,255
22,108,108,108,255
23,108,108,108,255
24,138,138,138,255
25,138,138,138,255
26,138,138,138,255
27,138,138,138,255
28,138,138,138,255
29,108,108,108,255
30,108,108,108,255
31,108,108,108,255
32,108,108,108,255
33,108,108,108,255
34,138,138,138,255
